author,comment,likeCount,publishedAt,predicted_label
@cleveryouiscoming,akun nya di jual gak?,0,2025-10-30T13:47:28Z,negatif
@BambangSumantri-sf7ws,gila,0,2025-10-30T13:45:35Z,positif
@RanzzTuru-gp2gw,bang review redmagic 11 pro yang make teknologi liquid colling,0,2025-10-30T13:45:29Z,netral
@WahyuIkhsan-v9m,Tumben telat bg,0,2025-10-30T13:44:44Z,netral
@zulle_kzr,"Mantep harganya lumayan terjangkau, terbaik Xiaomi",0,2025-10-30T13:42:11Z,positif
@gunerarse449,y,0,2025-10-30T13:41:26Z,positif
@mlakumlaku2137,Anday saja Evercoss bisa kyk siomi,0,2025-10-30T13:36:18Z,netral
@tungaulamaschannel4769,"Next redmi k90 bang versi gatget in,,udah nonton di diarcom,,",0,2025-10-30T13:31:25Z,positif
@itsKurei,Bang request dong benchmark wuthering waves juga buat HP HP yang lain,0,2025-10-30T13:30:49Z,positif
@OpanAli-n6w,Untung gw blm beli ip 17 ternyata ada Xiaomi 17 yg lebih bagus,0,2025-10-30T13:30:38Z,positif
@vincentfredrick6264,Buat fanboy nya bakal ttp ini otentik design buah😅,0,2025-10-30T13:30:07Z,positif
@jamalludin8439,"lo liat, iphone di tarok cuma buat review xiaomi 😂😂",0,2025-10-30T13:29:39Z,negatif
@audiocerita25,Barang yang bagus kak,0,2025-10-30T13:28:57Z,positif
@audiocerita25,Bagus barangnya,0,2025-10-30T13:28:37Z,positif
@wakandanowm,"user IP baru wkwkw, kalo di pikir pikir rata rata user IP tuh cuma gede gengsi wkwkw",0,2025-10-30T13:28:13Z,negatif
@satriobayupurnomo3922,Main game di belakang gak di cobain?,0,2025-10-30T13:22:00Z,netral
@LeeMin-Eral,"Uda 3 edisi skip beli iphone karena bosen, semoga adanya xiaomi ini, apple jadi lebi inovasi. Klo ga, mmg males balik ke iphone lagi",0,2025-10-30T13:21:30Z,negatif
@Dickysyahputra11,Inoi bg,0,2025-10-30T13:17:02Z,netral
@lutfiyoo6436,"Tetep aja maksain fiturnya, mnding iPhone yg kamera dpnya udah Ois dan sensor gede kotak, ujung ujungnya ip17pm yg lbh laku",0,2025-10-30T13:13:38Z,positif
@LensaBerita58,emang keren xiaomi inovasi menarik hapenya jadi making kece,1,2025-10-30T13:11:49Z,positif
@dedyjr4665,"Chnel lain udh bnyk yg review tpi kadang² sengaja gk di tonton, biar nonton di sini gk berasa garing, dan ada rasa suprise nya😂😂😂😂(walaupun gk beli)",0,2025-10-30T13:08:35Z,negatif
@arbain_mu,"Harusnya docking icon juga diberi background smoke translucent biar mirip iPhone totalitas.

Kayak Vivo.",0,2025-10-30T13:06:01Z,netral
@sobatyoutubeku,"Nonton doang tp gak beli , ngacung 😅",0,2025-10-30T13:06:00Z,positif
@aldustuga6842,Xiaomi emang best sih. Awet selalu di tangan gue😂😂😂. Lagi  nabung buat beli Poco. Coba-coba Poco karena baterainya itu loh gede❤,0,2025-10-30T13:03:59Z,negatif
@Krymoba,"Ini yg gua suka dari gadgetin, ngomongnya black blakan gak ada yg ditutupin soalny dia ngk di endors jugak Sampek dibilang , hp flagship panas kalo Chanel lain udah di luka puja nih hp",0,2025-10-30T13:01:23Z,positif
@rstudio16,Xuamistri di lawan😂,0,2025-10-30T13:00:40Z,positif
@paulushartanto8969,"Bang, itu google playstorenya ada?",0,2025-10-30T12:59:53Z,positif
@Satriya_bijiHitam,Bro mulai melupakan gopix 😂,0,2025-10-30T12:59:36Z,netral
@TuhiBingkaiTheExplore,next realme k70 bang,0,2025-10-30T12:53:14Z,positif
@Ir_Han,"iya bang ada cincin, cieee",0,2025-10-30T12:52:36Z,positif
@ChannelKuno1,"Kelebihan android itu dari kualitas photo, tapi masalah format video yang bisa membawa kestabilan dengan resolusi yang lebih padat tanpa jelly effect yang iphone, karena dia selain stabil dengan stabilizernya tp juga stabil gara2 format videonya MOV dan jauh dengan android yang cuma MP4",1,2025-10-30T12:52:05Z,positif
@jojoho13,bang ada yang kurang.... basel belakang bisa maen game jadul pakai casing game.... yah kelewat skip nih,0,2025-10-30T12:52:00Z,netral
@yunantoabdul5651,"Tumben om david ngereview hp yg hampir gak mungkin release di indo, mentok yg masuk paling 17 biasa 🙂",0,2025-10-30T12:44:35Z,positif
@bimajuliando1912,bang review iQoo Z10R,1,2025-10-30T12:43:49Z,netral
@JoSinatra-s6k,"Kalo aku pribadi ngluarin uang belasan juta buat beli hp xiomi syang bnget, dgn uang segitu aku mending beli samsung ato iphone, sekalipun xiomi lbih bgus spek nya",0,2025-10-30T12:41:28Z,positif
@Wanglin-g9k,Bang bahas iqoo 10r,0,2025-10-30T12:40:12Z,netral
@Inyo_ID,Harganya berapa tuh😅,0,2025-10-30T12:39:51Z,positif
@kevintmt3235,Woow,0,2025-10-30T12:39:05Z,positif
@Wahyu_codm,❤️,0,2025-10-30T12:36:21Z,positif
@amrinsy3958,12:55  Natlan emg Region yg gajelas bang culturenya 😂,0,2025-10-30T12:35:18Z,positif
@MuhammadRayyan-x9z,ini yg ditunggu2,0,2025-10-30T12:33:22Z,positif
@jayPohan,Review iqoo z10r bang,0,2025-10-30T12:33:16Z,netral
@Papah_Karin.1995,Info harga dan apakah ready di Indonesia,0,2025-10-30T12:32:11Z,netral
